run, avgwait, avgtottime
1, 3.7050676911, 9.67371468036
2, 4.62657231425, 11.3786635121
3, 7.76275583996, 14.2575463269
4, 9.29126962894, 15.861944806
5, 8.6665284847, 15.3550541727
6, 3.13359535043, 8.56545046192
7, 3.42896577496, 8.81924188667
8, 3.42091202106, 8.86262788988
9, 3.66552166119, 9.9943651616
10, 4.06104485585, 10.0132678221
11, 3.12161915749, 9.0011920295
12, 3.29262873893, 9.45873582218
13, 8.65992453646, 15.0788005611
14, 4.83473446068, 10.5439537408
15, 6.8138986691, 13.698322196
16, 2.80468714885, 8.31795912902
17, 9.21687018154, 16.0949326027
18, 5.89888319547, 12.238339884
19, 3.13014477041, 8.47658824204
20, 2.85655306462, 8.37191069598
21, 5.36079323737, 11.4809960423
22, 6.04950403785, 13.0178390037
23, 6.01728061662, 12.7906117121
24, 6.04470521491, 12.179609995
25, 6.06933444962, 13.8486746361
26, 6.77349305307, 12.7243319255
27, 3.61178525406, 8.76568616366
28, 2.23689596969, 7.10323369179
29, 5.6869613491, 11.8597453056
30, 2.94612798404, 9.25822529192
31, 2.59966586733, 7.29526543025
32, 4.15058281628, 9.80105592654
33, 3.72237937918, 9.29597063288
34, 4.3568487807, 11.2689412742
35, 6.47352340991, 12.7404466559
36, 2.99742606044, 8.86357097553
37, 5.47097548003, 12.1568115677
38, 5.19404192183, 11.851260596
39, 4.2622890932, 9.77602505635
40, 7.7971691536, 14.2261462652
41, 2.92218112588, 9.30055209281
42, 4.80253176121, 10.5657852499
43, 4.23037267867, 10.2616356859
44, 5.97288833468, 12.2074128388
45, 3.65284732443, 8.97502491091
46, 7.9379763449, 14.4220938127
47, 2.3078007545, 8.25018097308
48, 4.38346209837, 10.2252824905
49, 7.01709598786, 12.0094899536
50, 2.42049440104, 7.75253531162
51, 3.1288328226, 9.21228045281
52, 2.63380431198, 7.79210751778
53, 4.18229871954, 9.43339360244
54, 5.77637471949, 10.6718256073
55, 5.26024423885, 10.7348324915
56, 4.37873717976, 11.3696199559
57, 4.67222342046, 10.4974799394
58, 5.86038586983, 12.0203778431
59, 3.5290919629, 9.27371892954
60, 3.70057878033, 9.75109800093
61, 3.56607547595, 8.79666565943
62, 4.17145279638, 10.7382532023
63, 3.46457521279, 9.28013097705
64, 7.21022103647, 13.9004430734
65, 4.06534300774, 10.7551920013
66, 3.62659972358, 8.77702201358
67, 5.73082618396, 12.2930742925
68, 6.83097243113, 13.008739165
69, 5.94426752794, 11.4091827173
70, 3.27655931147, 8.57541690925
71, 5.81042102643, 12.0471470337
72, 4.06494354008, 9.61125915935
73, 3.21620090126, 8.29067029251
74, 3.42498038248, 8.86913706233
75, 10.6909987135, 17.3343268031
76, 3.84050744593, 9.74123263267
77, 4.70671876022, 10.595248723
78, 4.96511210822, 11.472561271
79, 4.39745440379, 10.6718225058
80, 8.21364889685, 15.2332573933
81, 5.21073084536, 11.8157451466
82, 3.69669615943, 9.65752723562
83, 3.69037520596, 8.953156277
84, 7.46947482114, 14.6851387858
85, 4.61624900238, 10.8762615697
86, 4.94127853071, 11.033328582
87, 4.72608038761, 11.2059658651
88, 5.95956541325, 12.141225781
89, 4.13143275995, 10.3089370196
90, 6.65501033768, 12.8128899149
91, 2.3738856044, 7.19271329462
92, 5.70517089712, 11.8601612942
93, 3.74852128407, 9.27647435128
94, 2.73568206237, 8.74264649189
95, 4.05821086883, 10.4257160995
96, 3.3157781746, 8.76417407613
97, 1.98952522481, 7.24870878423
98, 2.59353358992, 8.34020614784
99, 4.85977448251, 11.0113183951
100, 4.69123176858, 10.8104657978
101, 3.90491798975, 9.9775469099
102, 2.21134344157, 7.14651954609
103, 2.84602433292, 8.06182107055
104, 2.87103002938, 8.6332269992
105, 3.48913338038, 8.68565906023
106, 5.22888762347, 11.2632855255
107, 2.67176852605, 8.26563487779
108, 1.98138466128, 7.17254119536
109, 5.9453028295, 12.3434803921
110, 4.41247238923, 10.6487595407
111, 4.9906193068, 10.5091712287
112, 4.07333172567, 9.77025264888
113, 2.98204435107, 9.18703109314
114, 3.00335500822, 7.88937138879
115, 3.96123535311, 9.81521090512
116, 3.01886907628, 9.32559419038
117, 2.37625636758, 7.53174163493
118, 2.99234548231, 8.6337334657
119, 3.71507346413, 8.83779559066
120, 2.41093051013, 7.33063512734
121, 10.7432469425, 18.2159321228
122, 9.2691924195, 15.1943174266
123, 3.19366769336, 8.62979425544
124, 3.31351343924, 9.20105348286
125, 4.34811455356, 9.92422103749
126, 2.91677252928, 8.65058059726
127, 11.0247292197, 16.9184160466
128, 2.53211291702, 8.06517506238
129, 5.35877292461, 11.9216132134
130, 3.41223772305, 9.04062611097
131, 3.89530270895, 9.65880070857
132, 8.18865408628, 14.6954451506
133, 4.37706005029, 10.417382622
134, 9.32112971376, 16.2033048349
135, 5.33759538707, 11.0397354895
136, 3.06462896723, 8.91252742654
137, 4.07960612733, 10.2889745444
138, 2.69080277098, 7.99753303302
139, 2.78291519447, 9.41149467226
140, 3.18802300032, 7.25461460622
141, 4.63238101409, 10.6244286748
142, 8.11429552784, 14.4833315974
143, 3.27453147166, 8.92191750484
144, 5.99906181172, 11.6930790472
145, 2.50941401509, 7.76766917112
146, 5.07811367022, 10.8674369266
147, 6.90117990561, 12.9428319306
148, 5.13715383553, 11.1606587056
149, 3.45553038136, 8.50174933324
150, 5.25439043964, 11.0588074571
151, 5.49394844398, 11.0205713063
152, 3.88875400168, 10.2010377793
153, 2.51457752727, 7.32894147473
154, 5.53876217316, 12.2664659339
155, 5.15807402397, 11.9550459229
