u1, u2, avgwait, avgtottime
1.0, 1.0, 0.109180066575, 1.10895292117
1.0, 0.5, 0.298054947299, 1.7983115536
1.0, 0.3333333333333333, 0.676816098283, 2.67653920274
1.0, 0.25, 1.33050306404, 3.82605218473
1.0, 0.2, 2.38930317038, 5.38455939326
1.0, 0.16666666666666666, 4.0625360648, 7.55466528396
1.0, 0.14285714285714285, 6.667815392, 10.654007118
1.0, 0.125, 10.774351664, 15.2697201479
1.0, 0.1111111111111111, 16.388302199, 21.403205843
1.0, 0.1, 23.4380692417, 28.9486222015
0.5, 1.0, 0.300614608772, 1.7996359379
0.5, 0.5, 0.491670501061, 2.4893731484
0.5, 0.3333333333333333, 0.867818469738, 3.36804513315
0.5, 0.25, 1.54860612976, 4.55575712553
0.5, 0.2, 2.59776258254, 6.09527633608
0.5, 0.16666666666666666, 4.28581540809, 8.28357010199
0.5, 0.14285714285714285, 6.99513737247, 11.4936513167
0.5, 0.125, 10.9414165708, 15.9426802388
0.5, 0.1111111111111111, 16.2721782893, 21.769153438
0.5, 0.1, 23.5639024275, 29.5750982963
0.3333333333333333, 1.0, 0.6839230592, 2.68590002576
0.3333333333333333, 0.5, 0.87386905221, 3.37685089354
0.3333333333333333, 0.3333333333333333, 1.25871715903, 4.26420160669
0.3333333333333333, 0.25, 1.92026629415, 5.42563215959
0.3333333333333333, 0.2, 2.97449992875, 6.97368876215
0.3333333333333333, 0.16666666666666666, 4.65475191699, 9.15490950515
0.3333333333333333, 0.14285714285714285, 7.44337427941, 12.4500238923
0.3333333333333333, 0.125, 11.167486167, 16.6599715569
0.3333333333333333, 0.1111111111111111, 16.9230895845, 22.9293858946
0.3333333333333333, 0.1, 23.4797886356, 29.9791790767
0.25, 1.0, 1.35116082025, 3.85986232655
0.25, 0.5, 1.52735803373, 4.52638538268
0.25, 0.3333333333333333, 1.9051206096, 5.40663580808
0.25, 0.25, 2.59061770566, 6.59872695192
0.25, 0.2, 3.62575119209, 8.12821848321
0.25, 0.16666666666666666, 5.31987830512, 10.3186499825
0.25, 0.14285714285714285, 8.00568561949, 13.5038688669
0.25, 0.125, 11.9251596543, 17.9322789896
0.25, 0.1111111111111111, 17.547286146, 24.0559190544
0.25, 0.1, 25.0107164717, 32.033630027
0.2, 1.0, 2.39189379994, 5.38631463584
0.2, 0.5, 2.56815407844, 6.06314996253
0.2, 0.3333333333333333, 2.94505520972, 6.9466565746
0.2, 0.25, 3.61662621507, 8.11767568576
0.2, 0.2, 4.6819779952, 9.67666668973
0.2, 0.16666666666666666, 6.35908270916, 11.857982219
0.2, 0.14285714285714285, 9.07484513766, 15.0669269286
0.2, 0.125, 13.3019930677, 19.8103974359
0.2, 0.1111111111111111, 18.7028316606, 25.7145312934
0.2, 0.1, 25.1482088084, 32.6407534842
0.16666666666666666, 1.0, 4.09629196523, 7.59769065275
0.16666666666666666, 0.5, 4.27596024, 8.26959698943
0.16666666666666666, 0.3333333333333333, 4.61330006682, 9.11168259847
0.16666666666666666, 0.25, 5.37796296472, 10.3814801419
0.16666666666666666, 0.2, 6.37879033446, 11.874195833
0.16666666666666666, 0.16666666666666666, 8.10271361343, 14.1041452214
0.16666666666666666, 0.14285714285714285, 10.9013525744, 17.4048389557
0.16666666666666666, 0.125, 14.7031032945, 21.7015998202
0.16666666666666666, 0.1111111111111111, 20.2096690391, 27.7252765363
0.16666666666666666, 0.1, 27.0422818763, 35.0401877154
0.14285714285714285, 1.0, 6.8379840809, 10.8443019654
0.14285714285714285, 0.5, 7.007696334, 11.5133049752
0.14285714285714285, 0.3333333333333333, 7.32935431138, 12.3327917903
0.14285714285714285, 0.25, 8.07878968013, 13.5848965645
0.14285714285714285, 0.2, 9.08071999637, 15.0844524556
0.14285714285714285, 0.16666666666666666, 10.7811188439, 17.280935905
0.14285714285714285, 0.14285714285714285, 13.3770539742, 20.3893728815
0.14285714285714285, 0.125, 17.3075312277, 24.8009695499
0.14285714285714285, 0.1111111111111111, 22.9088327427, 30.9230632385
0.14285714285714285, 0.1, 29.9050918657, 38.3999155724
0.125, 1.0, 10.8595385886, 15.3612729947
0.125, 0.5, 10.8792877212, 15.8737511239
0.125, 0.3333333333333333, 11.3070338394, 16.8059909264
0.125, 0.25, 11.805145633, 17.7936545069
0.125, 0.2, 13.111451302, 19.6213370687
0.125, 0.16666666666666666, 14.7561363038, 21.7512049963
0.125, 0.14285714285714285, 17.3419176309, 24.8282919896
0.125, 0.125, 21.1294408745, 29.114048521
0.125, 0.1111111111111111, 26.9446518299, 35.4535500304
0.125, 0.1, 33.2487977627, 42.2319240738
0.1111111111111111, 1.0, 16.4702366464, 21.4902192902
0.1111111111111111, 0.5, 16.0706790133, 21.5598499928
0.1111111111111111, 0.3333333333333333, 16.8262940415, 22.8322565302
0.1111111111111111, 0.25, 17.5104783613, 24.0073748034
0.1111111111111111, 0.2, 18.5683767311, 25.5753398381
0.1111111111111111, 0.16666666666666666, 20.2034564289, 27.7068404964
0.1111111111111111, 0.14285714285714285, 22.8891277517, 30.895361122
0.1111111111111111, 0.125, 26.7116185308, 35.2107750153
0.1111111111111111, 0.1111111111111111, 32.5738410346, 41.5796230368
0.1111111111111111, 0.1, 38.8157875748, 48.3083366424
0.1, 1.0, 22.9979990908, 28.5033985795
0.1, 0.5, 23.3677244364, 29.3648888473
0.1, 0.3333333333333333, 23.5178195711, 30.0192185676
0.1, 0.25, 24.1528115982, 31.1480528375
0.1, 0.2, 25.5530916135, 33.0562925554
0.1, 0.16666666666666666, 26.7423701622, 34.7449997049
0.1, 0.14285714285714285, 29.3080313538, 37.7986100512
0.1, 0.125, 33.6179957086, 42.6165253609
0.1, 0.1111111111111111, 39.0032912991, 48.500152919
0.1, 0.1, 45.9018694728, 55.9089124458
