maxqlen, u1, u2, avgwait, avgtottime, avgn, avgempty, avgleft
1, 0.1111111111111111, 1, 1.58661113851, 5.47704212142, 1.54083647258, 0.747858473357, 0.00853314229059
2, 0.1111111111111111, 1, 3.31954602788, 7.52930564929, 1.94638829608, 0.677343117547, 0.00108475728131
3, 0.1111111111111111, 1, 5.02658486208, 9.44147348957, 2.30159328461, 0.638549544953, 0.000114326732145
4, 0.1111111111111111, 1, 6.72302733899, 11.2820123739, 2.64434426671, 0.612788052686, 2.09952344829e-05
5, 0.1111111111111111, 1, 8.23850028052, 12.8970324661, 2.93594848174, 0.596799815798, 4.61236791882e-06
