maxqlen, u1, u2, avgwait, avgtottime, avgn, avgempty, avgleft
5, 0.1111111111111111, 1, 0.373243505992, 4.53892133789, 1.39950255895, 0.668602268034, 0.17978212332
10, 0.1111111111111111, 1, 1.0295005916, 5.38926484056, 1.67453945213, 0.639644523565, 0.143039727157
15, 0.1111111111111111, 1, 1.83880809122, 6.32577980854, 1.91743980091, 0.618909791042, 0.115896351754
20, 0.1111111111111111, 1, 2.71536401286, 7.30461308042, 2.14488796579, 0.603610785931, 0.0977706103011
25, 0.1111111111111111, 1, 3.61231986455, 8.26668189363, 2.35477583904, 0.591755758203, 0.0833876669836
