u1, u2, avgwait, avgtottime, avgn, avgempty, avgleft
1.0, 1.0, 0.109557469886, 1.10771726809, 0.71845964784, 0.901395303892, 0.0
1.0, 0.5, 0.300692564925, 1.80047934744, 0.85498522145, 0.852238990687, 0.0
1.0, 0.3333333333333333, 0.676338601061, 2.67476083778, 1.02442371715, 0.80386283562, 0.0
1.0, 0.25, 1.32695415003, 3.82315348634, 1.24908095419, 0.75554385684, 0.0
1.0, 0.2, 2.39955975151, 5.3995428098, 1.54846097219, 0.707791719805, 0.0
1.0, 0.16666666666666666, 4.10333775454, 7.60003092404, 1.95988529248, 0.66311049936, 0.0
1.0, 0.14285714285714285, 6.76031800009, 10.7619457347, 2.52225547521, 0.62108541274, 0.0
1.0, 0.125, 10.6321346018, 15.1225600352, 3.25639984098, 0.584403331955, 0.0
1.0, 0.1111111111111111, 16.1477389633, 21.1563301082, 4.18618841363, 0.552194460249, 0.0
1.0, 0.1, 23.3659513203, 28.8742406947, 5.25157023899, 0.528937084851, 0.0
0.5, 1.0, 0.302053163869, 1.80074880999, 0.856025763864, 0.851657820939, 0.0
0.5, 0.5, 0.489909178173, 2.48872857483, 0.98819153838, 0.803637987939, 0.0
0.5, 0.3333333333333333, 0.870410139314, 3.36660420988, 1.16145842785, 0.754870848567, 0.0
0.5, 0.25, 1.52733436117, 4.52815004208, 1.38721757211, 0.704983124552, 0.0
0.5, 0.2, 2.57051141182, 6.06836113195, 1.6789552641, 0.659608693422, 0.0
0.5, 0.16666666666666666, 4.32703678683, 8.3260061259, 2.09590898153, 0.613958020284, 0.0
0.5, 0.14285714285714285, 7.00291315623, 11.5093594244, 2.67261604573, 0.571137618035, 0.0
0.5, 0.125, 10.9396081438, 15.9538003061, 3.4161433868, 0.532961159712, 0.0
0.5, 0.1111111111111111, 16.492120047, 22.0006769595, 4.34596450372, 0.503146389687, 0.0
0.5, 0.1, 23.2724382328, 29.2759496902, 5.34136418173, 0.480551906374, 0.0
0.3333333333333333, 1.0, 0.682480856954, 2.68322168538, 1.0277072061, 0.803260044289, 0.0
0.3333333333333333, 0.5, 0.869290905053, 3.36690988091, 1.16165397407, 0.754437352225, 0.0
0.3333333333333333, 0.3333333333333333, 1.247495951, 4.24891139202, 1.33254421268, 0.705775620192, 0.0
0.3333333333333333, 0.25, 1.90737512234, 5.40851866189, 1.55597583365, 0.657927048124, 0.0
0.3333333333333333, 0.2, 2.95710035233, 6.95161160575, 1.85283282561, 0.61094491762, 0.0
