maxqlen, u1, u2, avgwait, avgtottime, avgn, avgempty, avgleft
5, 0.14285714285714285, 0.14285714285714285, 0.729820727852, 7.78064096609, 1.86354502549, 0.506571021066, 0.274532254511
10, 0.14285714285714285, 0.14285714285714285, 2.03518482282, 9.09446423446, 2.29533220082, 0.452589544412, 0.195136926954
15, 0.14285714285714285, 0.14285714285714285, 3.41275559222, 10.4413507909, 2.64656016046, 0.420098390942, 0.142712289364
20, 0.14285714285714285, 0.14285714285714285, 4.76969961696, 11.8114282662, 2.94741788123, 0.395748126818, 0.107452503958
25, 0.14285714285714285, 0.14285714285714285, 6.0023803206, 13.0342076547, 3.19940844359, 0.380063049906, 0.0818589225625
