maxqlen, u1, u2, avgwait, avgtottime, avgn, avgempty, avgleft
1, 0.14285714285714285, 0.14285714285714285, 3.24835597157, 10.2690112565, 2.14605107931, 0.47588012695, 0.1178157262
2, 0.14285714285714285, 0.14285714285714285, 5.92529586736, 12.9462222436, 2.76936213536, 0.396934464464, 0.0557083104234
3, 0.14285714285714285, 0.14285714285714285, 7.97978138595, 14.9956726397, 3.23899459005, 0.365503719093, 0.0274045138049
4, 0.14285714285714285, 0.14285714285714285, 9.52070318314, 16.5240240349, 3.5749175474, 0.351908788061, 0.0137036861721
5, 0.14285714285714285, 0.14285714285714285, 10.7041146903, 17.7064064894, 3.82769467179, 0.344802814679, 0.00677723618981
