maxqlen, u1, u2, avgwait, avgtottime, avgn, avgempty, avgleft
1, 0.14285714285714285, 0.1, 4.34198105024, 12.7209430241, 2.4043036725, 0.407999200724, 0.166845154159
2, 0.14285714285714285, 0.1, 7.18868901574, 15.5241386003, 3.08508860749, 0.344317883922, 0.0874127342185
3, 0.14285714285714285, 0.1, 9.47583541689, 17.8083097176, 3.61755093488, 0.312842151877, 0.0486020150028
4, 0.14285714285714285, 0.1, 11.3004022352, 19.6387815926, 4.03137624057, 0.295152070246, 0.0289225985887
5, 0.14285714285714285, 0.1, 12.6053228697, 20.9437773506, 4.32753885367, 0.286529976985, 0.0172213837099
