maxqlen, u1, u2, avgwait, avgtottime, avgn, avgempty, avgleft
1, 0.125, 0.125, 4.0501821253, 12.0899154245, 2.33701596882, 0.421992526379, 0.155729512264
2, 0.125, 0.125, 6.6456084457, 14.6756969398, 2.97491172371, 0.360447323936, 0.0786836188325
3, 0.125, 0.125, 8.69696561889, 16.7240220187, 3.46951236961, 0.329974355143, 0.0435174681247
4, 0.125, 0.125, 10.1131312651, 18.1251386843, 3.80408827826, 0.316749236272, 0.0234746478986
5, 0.125, 0.125, 11.0981340503, 19.099988132, 4.03291265657, 0.309622098795, 0.0130635221618
