maxqlen, u1, u2, avgwait, avgtottime, avgn, avgempty, avgleft
5, 0.125, 0.125, 0.72123052089, 8.77797918913, 1.99838661119, 0.495247097896, 0.280731578535
10, 0.125, 0.125, 1.99384537151, 10.0283287948, 2.44241860814, 0.439452339212, 0.192737685987
15, 0.125, 0.125, 3.35985122148, 11.409416175, 2.8019151498, 0.399848643057, 0.138687178417
20, 0.125, 0.125, 4.66743477825, 12.715600629, 3.09430764603, 0.373014195801, 0.102573748307
25, 0.125, 0.125, 5.88949935468, 13.9241545868, 3.34147247623, 0.352763079537, 0.0762475437282
