maxqlen, u1, u2, avgwait, avgtottime, avgn, avgempty, avgleft
5, 0.14285714285714285, 0.1, 0.726374146032, 9.13211955308, 2.03510016102, 0.484119370153, 0.295345958316
10, 0.14285714285714285, 0.1, 2.01178453534, 10.4070346938, 2.49333729107, 0.429372585125, 0.208991334765
15, 0.14285714285714285, 0.1, 3.38932986685, 11.7667401059, 2.86317084482, 0.390218605328, 0.154565430644
20, 0.14285714285714285, 0.1, 4.75673652619, 13.1292078616, 3.18591396852, 0.360882607803, 0.118431864608
25, 0.14285714285714285, 0.1, 6.0090028919, 14.3700719151, 3.44424784213, 0.342013192772, 0.0919843457837
