u1, u2, avgwait, avgtottime
1.0, 1.0, 0.0923167415633, 1.09389768716
1.0, 0.5, 0.213363308341, 1.70217900447
1.0, 0.3333333333333333, 0.388467397202, 2.33787244059
1.0, 0.25, 0.595940461363, 2.96110246469
1.0, 0.2, 0.816302819496, 3.55585174778
1.0, 0.16666666666666666, 1.04724618089, 4.12817050065
1.0, 0.14285714285714285, 1.28271790397, 4.66441069206
1.0, 0.125, 1.51746132651, 5.1806138476
1.0, 0.1111111111111111, 1.7485581741, 5.64798169749
1.0, 0.1, 1.9508381669, 6.05801838304
0.5, 1.0, 0.215193155131, 1.70678488433
0.5, 0.5, 0.35347177425, 2.35580103379
0.5, 0.3333333333333333, 0.560594220415, 3.0475554973
0.5, 0.25, 0.817653774222, 3.75380197171
0.5, 0.2, 1.10502310745, 4.45473065131
0.5, 0.16666666666666666, 1.41894185838, 5.13622612246
0.5, 0.14285714285714285, 1.77440017421, 5.83415384689
0.5, 0.125, 2.11706013227, 6.47941116225
0.5, 0.1111111111111111, 2.48033231761, 7.11334419735
0.5, 0.1, 2.85762306785, 7.73228023874
0.3333333333333333, 1.0, 0.388837564926, 2.33483765077
0.3333333333333333, 0.5, 0.560077695297, 3.04742263353
0.3333333333333333, 0.3333333333333333, 0.810935975008, 3.81118614543
0.3333333333333333, 0.25, 1.12818154948, 4.60976926309
0.3333333333333333, 0.2, 1.5126104993, 5.45075907631
0.3333333333333333, 0.16666666666666666, 1.93198698893, 6.26351424471
0.3333333333333333, 0.14285714285714285, 2.46189103737, 7.17262709192
0.3333333333333333, 0.125, 2.94597195092, 7.99359606735
0.3333333333333333, 0.1111111111111111, 3.54214413662, 8.88434747502
0.3333333333333333, 0.1, 4.17221165552, 9.80116551944
0.25, 1.0, 0.592253241773, 2.9577794702
0.25, 0.5, 0.814169701942, 3.7483515902
0.25, 0.3333333333333333, 1.13070301836, 4.61960234742
0.25, 0.25, 1.5467461836, 5.54936229376
0.25, 0.2, 2.03656008789, 6.51847780998
0.25, 0.16666666666666666, 2.6110673187, 7.54042360561
0.25, 0.14285714285714285, 3.24021155118, 8.56240089386
0.25, 0.125, 4.02739066451, 9.73163908936
0.25, 0.1111111111111111, 4.94350132593, 10.9959816274
0.25, 0.1, 5.78973912607, 12.1404079603
0.2, 1.0, 0.816673339332, 3.56432817325
0.2, 0.5, 1.1108128772, 4.46553181766
0.2, 0.3333333333333333, 1.50262438765, 5.43475920998
0.2, 0.25, 2.03981636952, 6.52654108682
0.2, 0.2, 2.70840506483, 7.71147459148
0.2, 0.16666666666666666, 3.51745658484, 9.01075842745
0.2, 0.14285714285714285, 4.41126790063, 10.3351037541
0.2, 0.125, 5.44181281917, 11.7803863663
0.2, 0.1111111111111111, 6.59120115581, 13.2893690699
0.2, 0.1, 7.98708554893, 15.0252589427
0.16666666666666666, 1.0, 1.04971715165, 4.13420331817
0.16666666666666666, 0.5, 1.41876219537, 5.13668133602
0.16666666666666666, 0.3333333333333333, 1.95030946523, 6.28808848156
