maxqlen, u1, u2, avgwait, avgtottime, avgn, avgempty, avgleft
1, 0.14285714285714285, 0.1, 4.35100519428, 12.739428349, 2.40618399271, 0.408054975795, 0.167441685218
2, 0.14285714285714285, 0.1, 7.29417333983, 15.6664729441, 3.10102096615, 0.345447322663, 0.0879341641385
3, 0.14285714285714285, 0.1, 9.66191985261, 18.0344163477, 3.64632815632, 0.312888847154, 0.0501059683131
4, 0.14285714285714285, 0.1, 11.3479247191, 19.6895179591, 4.04025677161, 0.299031971035, 0.0288800466525
5, 0.14285714285714285, 0.1, 12.7293931152, 21.0839268444, 4.33939937015, 0.289895198062, 0.0171861167075
