maxqlen, u1, u2, avgwait, avgtottime, avgn, avgempty, avgleft
1, 0.125, 0.125, 4.04199721554, 12.0739199789, 2.33564411644, 0.422223022006, 0.15496019896
2, 0.125, 0.125, 6.62190502519, 14.6372336609, 2.97186564687, 0.36071741993, 0.0776654036365
3, 0.125, 0.125, 8.66332136073, 16.687176764, 3.45982024504, 0.330413733433, 0.0426486312732
4, 0.125, 0.125, 10.1014378746, 18.1197142648, 3.79477695935, 0.317566146499, 0.0239508555697
5, 0.125, 0.125, 11.1938554187, 19.2048069943, 4.05208261856, 0.307916785789, 0.0136218249979
